Nome,Voto_Effetto,Voto_Sapore,Caratteristiche Principali
"Bobinsana, Ginkgo Biloba, Yerba Mate",0,0,
"Bobinsana, Ginseng, Ilex Guayasa",0,0,
"Bobinsana, Ginseng, Moringa",0,0,
"Bobinsana, Ginseng, Rodiola Rosea",0,0,
"Bobinsana, Ginseng, Té nero",0,0,
"Bobinsana, Ginseng, Té verde",0,0,
"Bobinsana, Ginseng, Yerba Mate",0,0,
"Bobinsana, Ilex Guayasa, Moringa",0,0,
"Bobinsana, Ilex Guayasa, Rodiola Rosea",0,0,
"Bobinsana, Ilex Guayasa, Té nero",0,0,
"Bobinsana, Ilex Guayasa, Té verde",0,0,
"Bobinsana, Ilex Guayasa, Yerba Mate",0,0,
"Bobinsana, Moringa, Rodiola Rosea",0,0,
"Bobinsana, Moringa, Té nero",0,0,
"Bobinsana, Moringa, Té verde",0,0,
"Bobinsana, Moringa, Yerba Mate",0,0,
"Bobinsana, Rodiola Rosea, Té nero",0,0,
"Bobinsana, Rodiola Rosea, Té verde",0,0,
"Bobinsana, Rodiola Rosea, Yerba Mate",0,0,
"Bobinsana, Té nero, Té verde",0,0,
"Bobinsana, Té nero, Yerba Mate",0,0,
"Bobinsana, Té verde, Yerba Mate",0,0,
"Efedra, Fagiolo Vellutato, Ginkgo Biloba",0,0,
"Efedra, Fagiolo Vellutato, Ginseng",0,0,
"Efedra, Fagiolo Vellutato, Ilex Guayasa",0,0,
"Efedra, Fagiolo Vellutato, Moringa",0,0,
"Efedra, Fagiolo Vellutato, Rodiola Rosea",0,0,
"Efedra, Fagiolo Vellutato, Té nero",0,0,
"Efedra, Fagiolo Vellutato, Té verde",0,0,
"Efedra, Fagiolo Vellutato, Yerba Mate",0,0,
"Efedra, Ginkgo Biloba, Ginseng",0,0,
"Efedra, Ginkgo Biloba, Ilex Guayasa",0,0,
"Efedra, Ginkgo Biloba, Moringa",0,0,
"Efedra, Ginkgo Biloba, Rodiola Rosea",0,0,
"Efedra, Ginkgo Biloba, Té nero",0,0,
"Efedra, Ginkgo Biloba, Té verde",0,0,
